,O,C,E,A,N,Cluster
283,7.199999999999999,8.8,7.199999999999999,8.399999999999999,7.4,2
284,9.0,7.199999999999998,9.2,8.0,5.6000000000000005,4
285,6.6000000000000005,7.2,8.4,7.199999999999999,3.2000000000000006,4
286,7.199999999999999,7.3999999999999995,8.2,7.999999999999999,4.0,4
287,6.399999999999999,3.8,8.0,6.4,6.400000000000001,2
288,3.4,3.9999999999999996,8.6,7.999999999999999,7.399999999999999,2
289,7.3999999999999995,5.2,7.3999999999999995,8.0,3.8000000000000003,4
290,6.4,8.0,5.4,7.399999999999999,5.2,1
291,4.3999999999999995,5.800000000000001,7.8,4.600000000000001,5.2,3
292,5.999999999999998,6.799999999999999,7.3999999999999995,7.0,8.4,2
293,6.0,6.0,6.8,6.000000000000001,4.4,3
294,10.0,10.0,9.6,9.2,2.8000000000000007,4
295,6.399999999999999,6.0,9.8,6.0,3.000000000000001,4
296,7.2,8.8,9.2,8.799999999999999,6.000000000000001,4
297,5.600000000000001,5.6,5.0,7.6,5.6,3
298,9.2,9.2,8.8,8.4,2.4,4
299,4.4,7.2,2.8000000000000007,5.800000000000001,7.3999999999999995,0
300,6.2,4.2,9.8,8.0,3.2000000000000006,4
301,7.6,6.8,8.0,7.199999999999999,7.400000000000001,2
302,9.0,8.0,3.999999999999999,4.0,5.8,3
303,6.6,7.799999999999999,7.8,7.6,5.200000000000001,4
304,10.0,10.0,10.0,10.0,2.8000000000000007,4
305,10.0,7.6000000000000005,6.000000000000001,7.6000000000000005,9.2,2
306,7.999999999999999,6.6000000000000005,5.200000000000001,8.0,5.4,1
307,9.6,8.2,9.0,9.8,2.4,4
308,8.0,8.2,5.0,9.0,5.6000000000000005,1
309,9.2,9.0,7.0,10.0,2.6,4
310,9.0,5.0,9.2,9.0,5.4,2
311,6.8,5.0,7.4,6.6,7.6000000000000005,2
312,8.399999999999999,6.0,7.799999999999999,7.3999999999999995,4.6,4
313,6.999999999999999,5.8,8.4,7.399999999999999,3.0,4
314,7.4,9.2,4.200000000000001,8.6,5.0,1
315,4.8,7.8,3.599999999999999,4.6,4.6,3
316,6.199999999999999,7.0,5.6,6.0,6.199999999999999,3
317,8.8,4.6,9.0,9.0,5.800000000000001,2
318,8.4,7.399999999999999,2.8,7.6,7.199999999999999,0
319,9.600000000000001,6.0,9.6,9.399999999999999,7.4,2
320,8.6,7.0,5.6,7.6,6.0,1
321,7.8,7.6,5.999999999999999,7.6,5.799999999999999,1
322,6.8,6.4,7.199999999999999,7.799999999999999,6.6,2
323,6.6000000000000005,7.799999999999999,6.2,7.800000000000001,6.0,1
324,6.200000000000001,7.6000000000000005,7.199999999999999,9.0,3.400000000000001,4
325,6.999999999999999,7.0,7.999999999999999,6.799999999999999,5.800000000000001,4
326,9.2,8.399999999999999,6.6000000000000005,8.8,7.6,2
327,7.199999999999999,7.999999999999999,6.199999999999999,7.799999999999999,4.199999999999999,1
328,6.6,6.799999999999999,6.4,5.600000000000001,8.999999999999998,0
329,7.8,7.6,5.0,9.200000000000001,7.0,1
330,7.399999999999999,6.399999999999999,7.199999999999999,6.3999999999999995,4.800000000000001,3
331,4.6000000000000005,5.4,7.4,7.2,7.0,2
332,6.4,8.0,5.8,6.6,8.399999999999999,0
333,6.6,4.0,2.8,6.599999999999999,7.199999999999999,0
334,5.800000000000001,6.199999999999999,4.199999999999999,6.6000000000000005,6.200000000000001,3
335,8.4,7.4,5.4,7.199999999999998,6.0,1
336,6.6,7.0,5.6000000000000005,5.399999999999999,8.6,0
337,9.0,6.599999999999999,9.8,7.799999999999999,3.0000000000000004,4
338,8.4,6.0,2.8000000000000007,8.600000000000001,9.2,0
339,6.8,5.199999999999999,4.6,6.800000000000001,5.800000000000001,3
340,9.8,5.0,3.8,7.199999999999999,7.4,0
341,5.0,5.799999999999999,4.6000000000000005,5.6,7.199999999999999,0
342,9.6,5.6,9.0,6.8,6.000000000000001,2
343,9.399999999999999,4.799999999999999,1.9999999999999998,3.4,10.0,0
344,8.200000000000001,6.4,2.5999999999999996,7.6,4.2,3
345,8.600000000000001,6.6,5.8,4.199999999999999,7.0,3
346,8.0,7.4,6.2,8.799999999999999,8.799999999999999,2
347,6.799999999999999,8.2,4.2,6.799999999999999,7.599999999999999,0
348,8.2,7.199999999999999,5.2,6.799999999999999,9.0,0
349,7.000000000000001,5.4,5.3999999999999995,9.4,6.4,1
350,9.0,4.600000000000001,2.8,5.4,8.399999999999999,0
351,7.2,7.3999999999999995,6.4,6.999999999999999,9.4,0
352,8.6,6.599999999999999,6.4,9.4,6.800000000000001,2
353,4.800000000000001,3.6,8.399999999999999,8.799999999999999,4.0,4
354,6.800000000000001,7.6,8.0,7.799999999999999,6.200000000000001,2
355,8.4,7.199999999999998,7.799999999999999,6.6,5.4,4
356,10.0,5.8,3.0,7.0,2.8000000000000003,3
357,6.0,7.3999999999999995,5.800000000000001,6.799999999999999,4.0,1
358,10.0,7.999999999999999,1.9999999999999998,4.3999999999999995,7.3999999999999995,3
359,7.8,6.199999999999999,7.399999999999999,6.8,2.8000000000000003,4
360,9.2,6.8,6.799999999999999,10.0,3.2000000000000006,4
361,8.2,5.6000000000000005,4.3999999999999995,5.4,5.6,3
362,8.6,8.799999999999999,9.0,7.999999999999999,7.199999999999999,2
363,7.4,4.8,4.8,7.6,7.399999999999999,0
364,6.3999999999999995,8.6,9.2,8.4,4.800000000000001,4
365,7.8,8.2,6.999999999999999,7.799999999999998,3.2000000000000006,4
366,9.399999999999999,5.200000000000001,4.6,8.2,5.4,1
367,9.399999999999999,6.199999999999999,7.0,8.200000000000001,3.8000000000000003,4
368,6.6,7.799999999999999,3.4000000000000004,2.4,6.000000000000001,3
369,7.400000000000001,7.8,5.8,9.4,4.800000000000001,1
370,7.6000000000000005,7.199999999999999,8.6,9.0,7.199999999999999,2
371,9.2,5.8,6.599999999999999,7.6,5.200000000000001,2
372,7.799999999999999,4.800000000000001,4.6000000000000005,6.6,8.4,0
373,7.8,7.799999999999999,4.6,9.2,6.4,1
374,9.200000000000001,4.4,7.6000000000000005,7.999999999999998,5.800000000000001,2
375,6.4,8.8,5.0,6.4,3.8000000000000003,1
376,8.0,4.6,2.8,8.6,8.799999999999999,0
377,5.399999999999999,5.199999999999999,5.4,6.6000000000000005,8.2,0
378,9.0,5.999999999999999,3.1999999999999993,8.8,7.0,0
379,6.6,6.6,5.0,7.799999999999999,5.200000000000001,1
380,7.999999999999999,5.0,4.199999999999999,5.6,9.4,0
381,6.6,7.399999999999999,5.4,7.999999999999999,5.800000000000001,1
382,8.200000000000001,8.200000000000001,5.800000000000001,8.6,5.8,1
383,7.999999999999999,5.4,2.5999999999999996,7.799999999999999,6.6000000000000005,0
384,8.4,6.799999999999999,7.399999999999999,8.2,7.4,2
